pair_id,odia_poem_line,english_poem_line,poem_context,poet,rhyming_word_odia,rhyming_word_english,emotion_tone,odia_word_count,english_word_count,has_alliteration,line_complexity
1,ଜଗନ୍ନାଥ ବଲ୍ଲଭ ନାଥ,"O Lord of the World, Jagannatha",Jagannatha Bhajans,Traditional,ଥ,jagannatha,Neutral,7,6,True,Medium
2,ଅଚ୍ୟୁତାନନ୍ଦ ହରି ନାମ,"Achyutananda, Hari's holy name",Devotional Songs,Achyutananda Das,ମ,name,Neutral,8,5,True,Complex
3,ପ୍ରଭୁ ତୁମେ ସବୁ ଅଛ,"Oh Lord, you are in everything",Bhajan,Traditional,ଅଛ,everything,Neutral,6,6,False,Medium
4,ମଧୁବନେ କୁହୁକ ରସ,"In Madhuban, the essence of divine play",Poems of Love,Upendra Bhanja,ରସ,play,Joyful,6,7,False,Medium
5,ଚନ୍ଦନ ଗନ୍ଧ ମନ ମୋହେ,Sandalwood fragrance enchants the mind,Romantic Verses,Kabi Samrat Upendra Bhanja,ହ,mind,Neutral,7,5,False,Complex
6,ବନ ଫୁଲ ଫୁଟିଛି ରେ,The forest flowers have bloomed,Nature Poems,Gangadhar Meher,ର,bloomed,Neutral,7,5,True,Medium
7,ପ୍ରେମ ପୟୋଧର ତରଙ୍ଗ,Waves of love's ocean surge,Love Sonnets,Radhanath Ray,ଗ,surge,Neutral,7,6,True,Medium
8,ଭକ୍ତି ରସେ ଭାସେ ମନ,The mind floats in devotion's essence,Devotional Poetry,Salbeg,ମନ,essence,Neutral,6,7,False,Medium
9,ବନ୍ଦେ ଉତ୍କଳ ଜନନୀ,I bow to Mother Odisha,Patriotic Songs,Laxmikanta Mohapatra,ଜନନ,odisha,Neutral,5,5,False,Medium
10,ମହାପ୍ରଭୁ ଶ୍ରୀଜଗନ୍ନାଥ,The Great Lord Sri Jagannath,Jagannath Bhajans,Traditional,ଥ,jagannath,Joyful,8,5,False,Medium
11,ଅଚ୍ୟୁତ କେଶବ ମାଧବ,Achyuta Kesava Madhava,Devotional Verses,Achyutananda Das,ଧବ,madhava,Neutral,7,3,False,Complex
12,ହରି ନାମ ସଂକୀର୍ତନ,Chanting the name of Hari,Mahima Dharma,Bhima Bhoi,ତନ,hari,Neutral,7,5,False,Medium
13,ପ୍ରଭୁ ଜଗବନ୍ଧୁ,"Lord, friend of the world",Islamic Bhajans,Salbeg,ଧ,world,Positive,4,5,False,Medium
14,ଶ୍ରୀକୃଷ୍ଣ ଚୈତନ୍ୟ,Sri Krishna Chaitanya,Vaishnav Poetry,Traditional,ୟ,chaitanya,Neutral,8,3,False,Complex
15,ରାଧାକୃଷ୍ଣ ପ୍ରେମ କଥା,The love story of Radha-Krishna,Prem Rashmi,Upendra Bhanja,କଥ,krishna,Joyful,9,6,False,Medium
16,ବୃନ୍ଦାବନ ବିହାରୀ,The enjoyer of Vrindavan,Kavya Ratnakara,Kabi Samrat Upendra Bhanja,ର,vrindavan,Positive,7,4,False,Medium
17,ଚନ୍ଦ୍ରଶେଖର ଚରଣ,At the feet of Chandrasekhar,Banamali Gita,Banamali Das,ଚରଣ,chandrasekhar,Neutral,5,5,False,Medium
18,ଗୋପୀନାଥ ଗୋବିନ୍ଦ,Gopinath Govinda,Bhajan Mala,Gopalakrusna,ଦ,govinda,Neutral,8,2,True,Complex
19,ମଧୁସୂଦନ ନାମ,The name of Madhusudan,Utkala Gatha,Madhusudan Rao,ମ,madhusudan,Neutral,5,4,False,Simple
20,ସୂର୍ଯ୍ୟମଣି ପ୍ରଭା,The radiance of the sun jewel,Tapaswini,Gangadhar Meher,ରଭ,jewel,Joyful,6,6,True,Medium
21,ପ୍ରଭାତୀ ସୁନ୍ଦର ଦିନ,Beautiful morning day,Chandrabhaga,Radhanath Ray,ନ,day,Joyful,8,3,False,Complex
22,କବିତାର ମଧୁର ଭାଷା,Sweet language of poetry,Rebati,Fakir Mohan Senapati,ଷ,poetry,Positive,7,4,False,Medium
23,ସାହିତ୍ୟ ସମ୍ରାଟ କବି,The emperor poet of literature,Chitrarekha,Kavisurya Baladev Rath,କବ,literature,Neutral,8,5,False,Medium
24,ପ୍ରାଣବଲ୍ଲଭ ପ୍ରଭୁ,"Lord, beloved of life",Bandira Atma Katha,Gopabandhu Das,ରଭ,life,Joyful,6,4,True,Simple
25,ସ୍ୱାଧୀନତା ସଂଗ୍ରାମୀ,Freedom fighter,Pallishree,Godabarish Mishra,ମ,fighter,Joyful,8,2,True,Complex
