poem_id,line_number,previous_scheme,english_line,line_ending_word,rhyme_scheme_label,total_lines_in_poem,stanza_pattern
0,1,START,Shall I compare thee to a summer's day?,day,A,4,ABAC
0,2,STARTA,Thou art more lovely and more temperate:,temperate,B,4,ABAC
0,3,STARTAB,"Rough winds do shake the darling buds of May,",may,A,4,ABAC
0,4,STARTABA,And summer's lease hath all too short a date:,date,C,4,ABAC
1,1,START,"Two roads diverged in a yellow wood,",wood,A,4,ABAC
1,2,STARTA,And sorry I could not travel both,both,B,4,ABAC
1,3,STARTAB,"And be one traveler, long I stood",stood,A,4,ABAC
1,4,STARTABA,And looked down one as far as I could,could,C,4,ABAC
2,1,START,Hope is the thing with feathers,feathers,A,4,ABCD
2,2,STARTA,"That perches in the soul,",soul,B,4,ABCD
2,3,STARTAB,"And sings the tune without the words,",words,C,4,ABCD
2,4,STARTABC,"And never stops at all,",all,D,4,ABCD
3,1,START,"Tyger Tyger, burning bright,",bright,A,4,AABC
3,2,STARTA,In the forests of the night;,night,A,4,AABC
3,3,STARTAA,"What immortal hand or eye,",eye,B,4,AABC
3,4,STARTAAB,Could frame thy fearful symmetry?,symmetry,C,4,AABC
4,1,START,The sun that brief December day,day,A,4,AABB
4,2,STARTA,"Rose cheerless over hills of gray,",gray,A,4,AABB
4,3,STARTAA,"And, darkly circled, gave at noon",noon,B,4,AABB
4,4,STARTAAB,A sadder light than waning moon.,moon,B,4,AABB
5,1,START,I wandered lonely as a cloud,cloud,A,4,ABCD
5,2,STARTA,"That floats on high o'er vales and hills,",hills,B,4,ABCD
5,3,STARTAB,"When all at once I saw a crowd,",crowd,C,4,ABCD
5,4,STARTABC,"A host, of golden daffodils;",daffodils,D,4,ABCD
6,1,START,"O, my Luve is like a red, red rose",rose,A,4,ABCD
6,2,STARTA,That's newly sprung in June;,june,B,4,ABCD
6,3,STARTAB,"O, my Luve is like the melody",melody,C,4,ABCD
6,4,STARTABC,That's sweetly played in tune.,tune,D,4,ABCD
7,1,START,"Because I could not stop for Death,",death,A,4,ABCD
7,2,STARTA,He kindly stopped for me;,me,B,4,ABCD
7,3,STARTAB,The carriage held but just ourselves,ourselves,C,4,ABCD
7,4,STARTABC,And Immortality.,immortality,D,4,ABCD
8,1,START,My heart leaps up when I behold,behold,A,4,ABCC
8,2,STARTA,A rainbow in the sky,sky,B,4,ABCC
8,3,STARTAB,So was it when my life began,began,C,4,ABCC
8,4,STARTABC,So is it now I am a man,man,C,4,ABCC
9,1,START,The world is too much with us late and soon,soon,A,4,ABCA
9,2,STARTA,Getting and spending we lay waste our powers,powers,B,4,ABCA
9,3,STARTAB,Little we see in Nature that is ours,ours,C,4,ABCA
9,4,STARTABC,We have given our hearts away a sordid boon,boon,A,4,ABCA
10,1,START,Earth has not anything to show more fair,fair,A,4,ABCD
10,2,STARTA,Dull would he be of soul who could pass by,by,B,4,ABCD
10,3,STARTAB,A sight so touching in its majesty,majesty,C,4,ABCD
10,4,STARTABC,This City now doth like a garment wear,wear,D,4,ABCD
11,1,START,Strange fits of passion have I known,known,A,4,ABCB
11,2,STARTA,And I will dare to tell,tell,B,4,ABCB
11,3,STARTAB,But in the lover's ear alone,alone,C,4,ABCB
11,4,STARTABC,What once to me befell,befell,B,4,ABCB
12,1,START,She dwelt among the untrodden ways,ways,A,4,ABCD
12,2,STARTA,Beside the springs of Dove,dove,B,4,ABCD
12,3,STARTAB,A maid whom there were none to praise,praise,C,4,ABCD
12,4,STARTABC,And very few to love,love,D,4,ABCD
13,1,START,A slumber did my spirit seal,seal,A,4,ABCB
13,2,STARTA,I had no human fears,fears,B,4,ABCB
13,3,STARTAB,She seemed a thing that could not feel,feel,C,4,ABCB
13,4,STARTABC,The touch of earthly years,years,B,4,ABCB
14,1,START,It is a beauteous evening calm and free,free,A,4,ABBC
14,2,STARTA,The holy time is quiet as a Nun,nun,B,4,ABBC
14,3,STARTAB,Breathless with adoration the broad sun,sun,B,4,ABBC
14,4,STARTABB,Is sinking down in its tranquility,tranquility,C,4,ABBC
15,1,START,London 1802 Milton thou shouldst be living at this hour,hour,A,4,ABBC
15,2,STARTA,England hath need of thee she is a fen,fen,B,4,ABBC
15,3,STARTAB,Of stagnant waters altar sword and pen,pen,B,4,ABBC
15,4,STARTABB,Fireside the heroic wealth of hall and bower,bower,C,4,ABBC
16,1,START,I travelled among unknown men,men,A,4,ABAC
16,2,STARTA,In lands beyond the sea,sea,B,4,ABAC
16,3,STARTAB,Nor England did I know till then,then,A,4,ABAC
16,4,STARTABA,What love I bore to thee,thee,C,4,ABAC
17,1,START,The tables turned up up my friend,friend,A,4,ABCB
17,2,STARTA,And quit your books,books,B,4,ABCB
17,3,STARTAB,Or surely you'll grow double,double,C,4,ABCB
17,4,STARTABC,Up up my friend and clear your looks,looks,B,4,ABCB
18,1,START,Once upon a midnight dreary while I pondered weak and weary,weary,A,4,ABCD
18,2,STARTA,Over many a quaint and curious volume of forgotten lore,lore,B,4,ABCD
18,3,STARTAB,While I nodded nearly napping suddenly there came a tapping,tapping,C,4,ABCD
18,4,STARTABC,As of someone gently rapping rapping at my chamber door,door,D,4,ABCD
19,1,START,Hear the sledges with the bells,bells,A,4,AAAB
19,2,STARTA,Silver bells,bells,A,4,AAAB
19,3,STARTAA,What a world of merriment their melody foretells,foretells,A,4,AAAB
19,4,STARTAAA,How they tinkle tinkle tinkle,tinkle,B,4,AAAB
20,1,START,It was many and many a year ago,ago,A,4,ABCD
20,2,STARTA,In a kingdom by the sea,sea,B,4,ABCD
20,3,STARTAB,That a maiden there lived whom you may know,know,C,4,ABCD
20,4,STARTABC,By the name of Annabel Lee,lee,D,4,ABCD
21,1,START,From childhood's hour I have not been,been,A,4,AABB
21,2,STARTA,As others were I have not seen,seen,A,4,AABB
21,3,STARTAA,As others saw I could not bring,bring,B,4,AABB
21,4,STARTAAB,My passions from a common spring,spring,B,4,AABB
22,1,START,Take this kiss upon the brow,brow,A,4,AAAB
22,2,STARTA,And in parting from you now,now,A,4,AAAB
22,3,STARTAA,Thus much let me avow,avow,A,4,AAAB
22,4,STARTAAA,You are not wrong who deem,deem,B,4,AAAB
23,1,START,In the greenest of our valleys,valleys,A,4,ABCD
23,2,STARTA,By good angels tenanted,tenanted,B,4,ABCD
23,3,STARTAB,Once a fair and stately palace,palace,C,4,ABCD
23,4,STARTABC,Radiant palace reared its head,head,D,4,ABCD
24,1,START,The skies they were ashen and sober,sober,A,4,ABAA
24,2,STARTA,The leaves they were crisped and sere,sere,B,4,ABAA
24,3,STARTAB,The leaves they were withering and sober,sober,A,4,ABAA
24,4,STARTABA,It was night in the lonesome October,october,A,4,ABAA
25,1,START,Gaily bedight a gallant knight,knight,A,4,ABCD
25,2,STARTA,In sunshine and in shadow,shadow,B,4,ABCD
25,3,STARTAB,Had journeyed long singing a song,song,C,4,ABCD
25,4,STARTABC,In search of Eldorado,eldorado,D,4,ABCD
26,1,START,Science true daughter of Old Time thou art,art,A,4,ABAB
26,2,STARTA,Who alterest all things with thy peering eyes,eyes,B,4,ABAB
26,3,STARTAB,Why preyest thou thus upon the poet's heart,heart,A,4,ABAB
26,4,STARTABA,Vulture whose wings are dull realities,realities,B,4,ABAB
27,1,START,I dwelt alone in a world of moan,moan,A,3,ABC
27,2,STARTA,And my soul was a stagnant tide,tide,B,3,ABC
27,3,STARTAB,Till the fair and gentle Eulalie became my blushing bride,bride,C,3,ABC
28,1,START,The ring is on my hand,hand,A,4,ABAA
28,2,STARTA,And the wreath is on my brow,brow,B,4,ABAA
28,3,STARTAB,Satin and jewels grand,grand,A,4,ABAA
28,4,STARTABA,Are all at my command,command,A,4,ABAA
29,1,START,Thou wouldst be loved then let thy heart,heart,A,4,ABAB
29,2,STARTA,From its present pathway part not,not,B,4,ABAB
29,3,STARTAB,Being everything which now thou art,art,A,4,ABAB
29,4,STARTABA,Be nothing which thou art not,not,B,4,ABAB
30,1,START,O my Luve is like a red red rose,rose,A,4,ABCD
30,2,STARTA,That's newly sprung in June,june,B,4,ABCD
30,3,STARTAB,O my Luve is like the melody,melody,C,4,ABCD
30,4,STARTABC,That's sweetly played in tune,tune,D,4,ABCD
31,1,START,Should auld acquaintance be forgot,forgot,A,4,ABAC
31,2,STARTA,And never brought to mind,mind,B,4,ABAC
31,3,STARTAB,Should auld acquaintance be forgot,forgot,A,4,ABAC
31,4,STARTABA,And auld lang syne,syne,C,4,ABAC
32,1,START,Wee sleekit cowrin timrous beastie,beastie,A,4,ABCD
32,2,STARTA,O what a panic's in thy breastie,breastie,B,4,ABCD
32,3,STARTAB,Thou need na start awa sae hasty,hasty,C,4,ABCD
32,4,STARTABC,Wi bickering brattle,brattle,D,4,ABCD
33,1,START,Ae fond kiss and then we sever,sever,A,4,AABC
33,2,STARTA,Ae farewell and then forever,forever,A,4,AABC
33,3,STARTAA,Deep in heart wrung tears I'll pledge thee,thee,B,4,AABC
33,4,STARTAAB,Warring sighs and groans I'll wage thee,thee,C,4,AABC
34,1,START,Flow gently sweet Afton among thy green braes,braes,A,4,ABCC
34,2,STARTA,Flow gently I'll sing thee a song in thy praise,praise,B,4,ABCC
34,3,STARTAB,My Mary's asleep by thy murmuring stream,stream,C,4,ABCC
34,4,STARTABC,Flow gently sweet Afton disturb not her dream,dream,C,4,ABCC
35,1,START,Green grow the rashes O,o,A,4,ABCD
35,2,STARTA,Green grow the rashes O,o,B,4,ABCD
35,3,STARTAB,The sweetest hours that e'er I spend,spend,C,4,ABCD
35,4,STARTABC,Are spent among the lasses O,o,D,4,ABCD
36,1,START,My heart's in the Highlands my heart is not here,here,A,4,ABCD
36,2,STARTA,My heart's in the Highlands a chasing the deer,deer,B,4,ABCD
36,3,STARTAB,Chasing the wild deer and following the roe,roe,C,4,ABCD
36,4,STARTABC,My heart's in the Highlands wherever I go,go,D,4,ABCD
37,1,START,John Anderson my jo John,john,A,4,ABCB
37,2,STARTA,When we were first acquent,acquent,B,4,ABCB
37,3,STARTAB,Your locks were like the raven,raven,C,4,ABCB
