element_id,odia_element,english_equivalent,element_type,poetic_context,usage_example_odia,usage_example_english,complexity_level
1,ବୈଶାଖ,Baisakha,month,Summer month of heat and harvest,ବୈଶାଖ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Baisakha month, nature is beautiful",medium
2,ଜ୍ୟେଷ୍ଠ,Jyeshtha,month,Scorching summer month,ଜ୍ୟେଷ୍ଠ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Jyeshtha month, nature is beautiful",medium
3,ଆଷାଢ଼,Ashadha,month,Monsoon's arrival month,ଆଷାଢ଼ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Ashadha month, nature is beautiful",medium
4,ଶ୍ରାବଣ,Sravana,month,Month of rains and romance,ଶ୍ରାବଣ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Sravana month, nature is beautiful",medium
5,ଭାଦ୍ରବ,Bhadraba,month,Month of lush greenery,ଭାଦ୍ରବ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Bhadraba month, nature is beautiful",medium
6,ଆଶ୍ୱିନ,Aswina,month,Autumn's beautiful month,ଆଶ୍ୱିନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Aswina month, nature is beautiful",medium
7,କାର୍ତ୍ତିକ,Kartika,month,Month of festivals and lights,କାର୍ତ୍ତିକ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Kartika month, nature is beautiful",medium
8,ମାର୍ଗଶିର,Margashira,month,Winter's beginning month,ମାର୍ଗଶିର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Margashira month, nature is beautiful",medium
9,ପୌଷ,Pousha,month,Cold winter month,ପୌଷ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Pousha month, nature is beautiful",medium
10,ମାଘ,Magha,month,Month of harvest and celebrations,ମାଘ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Magha month, nature is beautiful",medium
11,ଫାଲ୍ଗୁନ,Phalguna,month,Spring's colorful month,ଫାଲ୍ଗୁନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Phalguna month, nature is beautiful",medium
12,ଚୈତ୍ର,Chaitra,month,New year month,ଚୈତ୍ର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Chaitra month, nature is beautiful",medium
13,ଗ୍ରୀଷ୍ମ ବୈଶାଖ,Summer Baisakha,month,Intense heat and harvest time,ଗ୍ରୀଷ୍ମ ବୈଶାଖ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Summer Baisakha month, nature is beautiful",medium
14,ବର୍ଷା ଆଷାଢ଼,Rainy Ashadha,month,First monsoon showers,ବର୍ଷା ଆଷାଢ଼ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Rainy Ashadha month, nature is beautiful",medium
15,ଶୀତ ମାଘ,Winter Magha,month,Peak winter cold,ଶୀତ ମାଘ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Winter Magha month, nature is beautiful",medium
16,ବସନ୍ତ ଫାଲ୍ଗୁନ,Spring Phalguna,month,Colorful spring festival time,ବସନ୍ତ ଫାଲ୍ଗୁନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Spring Phalguna month, nature is beautiful",medium
17,ହେମନ୍ତ ମାର୍ଗଶିର,Autumn Margashira,month,Early winter crispness,ହେମନ୍ତ ମାର୍ଗଶିର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Autumn Margashira month, nature is beautiful",medium
18,ଶରତ ଆଶ୍ୱିନ,Autumn Aswina,month,Clear autumn skies,ଶରତ ଆଶ୍ୱିନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Autumn Aswina month, nature is beautiful",medium
19,ପ୍ରଚଣ୍ଡ ଜ୍ୟେଷ୍ଠ,Fierce Jyeshtha,month,Peak summer intensity,ପ୍ରଚଣ୍ଡ ଜ୍ୟେଷ୍ଠ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Fierce Jyeshtha month, nature is beautiful",medium
20,ସୁହାବନା ଶ୍ରାବଣ,Beautiful Sravana,month,Romantic rainy season,ସୁହାବନା ଶ୍ରାବଣ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Beautiful Sravana month, nature is beautiful",medium
